recipient,party,party_source,from_crypto_native,native_items,from_diversified_core,diversified_items,name_variants_combined
Sen. Ronald Lee Wyden (Contribution Refunded On 12/31/22),,,2900.0,1,0.0,0,1
Rep. Sean Patrick Maloney,,,2900.0,1,0.0,0,1
Rep. Patrick Timothy Henry,,,2900.0,1,0.0,0,1
Patick Mchenry,,,2820.0,1,0.0,0,1
Rep. Janelle S. Bynum (D-OR),(D-OR),members-table,2750.0,5,0.0,0,3
New York State Democratic Committee,,,2500.0,1,0.0,0,1
Rep. Eugene Simon Vindman (D-VA),(D-VA),members-table,2500.0,3,0.0,0,1
Carey For Congress; Carry On PAC NRCC,,,2500.0,1,0.0,0,1
Blake Masters,,,2500.0,1,0.0,0,1
Rep. Nydia Velazquez,,,2500.0,3,0.0,0,1
Rep. Mike Haridopolos (R-FL),(R-FL),members-table,2500.0,2,0.0,0,1
Byron Donald,,,2500.0,1,0.0,0,1
Value In Electing Women Political Action Committee,,,2500.0,1,0.0,0,1
Senator Tuberville,,,2500.0,1,0.0,0,1
Darren Soto For Congress,,,2500.0,1,0.0,0,1
Senator J.D. Vance,,,2500.0,1,0.0,0,1
Sen. Rick Scott (R-FL),(R-FL),members-table,2500.0,1,0.0,0,1
Rep. Wiley Nickel,,,2500.0,3,0.0,0,2
Rep. Eric Sorensen (D-IL),(D-IL),members-table,2000.0,2,0.0,0,1
Rep. Jasmine Crockett (D-TX),(D-TX),members-table,2000.0,2,0.0,0,1
Rep. Derek Tran (D-CA),(D-CA),members-table,2000.0,3,0.0,0,1
Rep. Mikie Sherrill,,,2000.0,2,0.0,0,1
Rep. Brendan F. Boyle (D-PA),(D-PA),members-table,2000.0,2,0.0,0,1
Rep. Timothy M. Kennedy (D-NY),(D-NY),members-table,2000.0,2,0.0,0,1
Rep. Adam Gray (D-CA),(D-CA),members-table,2000.0,3,0.0,0,1
Rep. Jared Moskowitz (D-FL),(D-FL),members-table,2000.0,2,0.0,0,1
Sen. Ben Ray Lujan,,,2000.0,1,0.0,0,1
Rep. Grace Meng (D-NY),(D-NY),members-table,2000.0,2,0.0,0,1
Rep. Marc A. Veasey (D-TX),(D-TX),members-table,2000.0,2,0.0,0,1
Rep. Max L. Miller (R-OH),(R-OH),members-table,2000.0,2,0.0,0,1
Rep. Gabe Vasquez (D-NM),(D-NM),members-table,2000.0,3,0.0,0,2
